"A2";"A3";"A8";"A11";"A14";"A16";"A1";"A4";"A5";"A6";"A7";"A9";"A10";"A12";"A13";"Acc_Kredit"
"range3";"range2";"range3";"range3";"range1";"range1";"b";"u";"g";"cc";"v";"t";"t";"t";"g";"+"
"range3";"range1";"range1";"range2";"range3";"range2";"a";"u";"g";"ff";"ff";"t";"t";"f";"g";"+"
"range2";"range3";"range3";"range3";"range3";"range2";"b";"u";"g";"x";"v";"t";"t";"f";"g";"+"
"range2";"range2";"range2";"range2";"range3";"range1";"a";"u";"g";"c";"v";"t";"t";"t";"g";"+"
"range2";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range3";"a";"u";"g";"aa";"v";"t";"t";"f";"g";"+"
"range2";"range2";"range2";"range3";"range1";"range3";"a";"u";"g";"q";"h";"t";"t";"f";"g";"+"
"range2";"range3";"range2";"range2";"range2";"range2";"a";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range1";"range2";"range3";"range2";"range1";"range3";"b";"y";"p";"w";"v";"t";"t";"t";"g";"+"
"range1";"range2";"range2";"range3";"range2";"range3";"b";"y";"p";"w";"v";"t";"t";"t";"g";"+"
"range3";"range2";"range1";"range1";"range1";"range3";"a";"u";"g";"j";"j";"t";"f";"f";"g";"+"
"range3";"range1";"range3";"range1";"range1";"range1";"a";"u";"g";"c";"v";"t";"f";"f";"g";"+"
"range1";"range3";"range1";"range1";"range1";"range1";"b";"u";"g";"e";"dd";"t";"f";"f";"g";"+"
"range1";"range2";"range3";"range1";"range1";"range1";"b";"y";"p";"c";"h";"t";"f";"f";"g";"+"
;"range3";"range3";"range1";"range1";"range1";"b";"u";"g";"x";"v";"t";"f";"f";"g";"+"
"range3";"range2";"range3";"range3";"range1";"range2";"a";"u";"g";"aa";"v";"t";"t";"f";"g";"+"
"range1";"range1";"range2";"range3";"range3";"range3";"b";"u";"g";"c";"v";"t";"t";"t";"g";"+"
"range2";"range1";"range2";"range3";"range1";"range1";"a";"u";"g";"q";"v";"t";"t";"f";"g";"+"
"range3";"range2";"range1";"range3";"range3";"range1";"b";"u";"g";"x";"v";"t";"t";"t";"g";"+"
"range1";"range3";"range2";"range2";"range2";"range3";"?";"u";"g";"k";"v";"t";"t";"f";"g";"+"
"range2";"range3";"range3";"range3";"range1";"range3";"a";"u";"g";"e";"dd";"t";"t";"t";"g";"+"
"range1";"range2";"range2";"range2";"range3";"range3";"b";"u";"g";"m";"v";"t";"t";"f";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range3";"a";"u";"g";"q";"v";"t";"t";"f";"g";"-"
"range2";"range2";"range3";"range1";"range3";"range1";"a";"u";"g";"q";"v";"t";"f";"t";"g";"-"
"range3";"range1";"range3";"range1";"range2";"range1";"b";"u";"g";"c";"v";"t";"f";"t";"g";"-"
"range3";"range2";"range1";"range1";"range2";"range1";"b";"u";"g";"k";"v";"t";"f";"f";"g";"-"
"range3";"range1";"range2";"range1";"range3";"range3";"a";"u";"g";"i";"bb";"t";"f";"t";"g";"-"
"range3";"range3";"range3";"range3";"range1";"range2";"a";"u";"g";"k";"h";"t";"t";"t";"g";"-"
"range3";"range3";"range1";"range2";"range3";"range2";"b";"u";"g";"q";"h";"t";"t";"f";"g";"-"
"range2";"range2";"range3";"range1";"range3";"range2";"a";"u";"g";"c";"h";"t";"f";"t";"g";"-"
"range2";"range1";"range2";"range1";"range3";"range1";"a";"u";"g";"aa";"h";"t";"f";"f";"g";"-"
"range3";"range2";"range2";"range1";"range3";"range1";"b";"u";"g";"i";"bb";"t";"f";"f";"g";"-"
"range3";"range1";"range1";"range1";"range2";"range2";"b";"u";"g";"ff";"ff";"t";"f";"f";"g";"-"
"range2";"range2";"range3";"range1";"range3";"range1";"b";"u";"g";"aa";"v";"t";"f";"t";"g";"-"
"range2";"range2";"range1";"range1";"range3";"range1";"a";"y";"p";"ff";"ff";"t";"f";"f";"g";"-"
"range2";"range1";"range1";"range1";"range1";"range1";"a";"u";"g";"ff";"ff";"t";"f";"f";"g";"-"
"range3";"range2";"range3";"range1";"range3";"range1";"b";"u";"g";"x";"h";"t";"f";"t";"g";"-"
"range2";"range2";"range1";"range1";"range2";"range1";"b";"u";"g";"w";"bb";"t";"f";"t";"g";"-"
"range3";"range3";"range2";"range1";"range1";"range3";"b";"u";"g";"?";"?";"t";"f";"f";"g";"-"
"range1";"range1";"range2";"range1";"range1";"range2";"b";"y";"p";"cc";"v";"t";"f";"t";"g";"-"
"range3";"range2";"range2";"range1";"range1";"range3";"b";"u";"g";"i";"bb";"t";"f";"f";"g";"-"
"range1";"range3";"range2";"range1";"range2";"range1";"b";"y";"p";"k";"h";"t";"f";"t";"g";"-"
"range3";"range2";"range2";"range1";"range2";"range1";"b";"u";"g";"w";"v";"t";"f";"t";"g";"-"
"range2";"range1";"range2";"range3";"range2";"range2";"b";"y";"p";"i";"bb";"t";"t";"t";"g";"-"
"range3";"range3";"range2";"range1";"range1";"range1";"b";"y";"p";"d";"v";"t";"f";"f";"s";"-"
"range1";"range1";"range3";"range3";"range2";"range3";"b";"y";"p";"w";"v";"t";"t";"t";"g";"-"
"range1";"range1";"range2";"range3";"range2";"range3";"b";"u";"g";"d";"h";"t";"t";"f";"g";"+"
"range2";"range1";"range2";"range3";"range3";"range3";"b";"u";"g";"x";"v";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range1";"range2";"range1";"b";"u";"g";"m";"v";"t";"f";"f";"s";"+"
"range3";"range3";"range3";"range2";"range1";"range2";"b";"u";"g";"e";"z";"t";"t";"t";"g";"+"
"range3";"range3";"range1";"range3";"range1";"range3";"b";"u";"g";"i";"bb";"t";"t";"f";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range2";"b";"u";"g";"r";"n";"t";"t";"t";"g";"+"
"range3";"range2";"range3";"range3";"range3";"range3";"b";"u";"g";"w";"v";"t";"t";"f";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range3";"a";"y";"p";"x";"h";"t";"t";"f";"g";"+"
"range3";"range1";"range1";"range3";"range2";"range3";"b";"u";"g";"c";"h";"t";"t";"f";"g";"+"
"range2";"range2";"range3";"range3";"range3";"range1";"b";"u";"g";"w";"v";"t";"t";"t";"g";"+"
"range2";"range1";"range2";"range3";"range2";"range3";"a";"u";"g";"w";"v";"t";"t";"f";"g";"+"
"range3";"range1";"range1";"range1";"range1";"range3";"b";"u";"g";"x";"h";"t";"f";"f";"g";"+"
"range1";"range2";"range3";"range3";"range2";"range3";"a";"u";"g";"q";"h";"t";"t";"t";"g";"+"
"range2";"range3";"range3";"range3";"range3";"range3";"a";"u";"g";"cc";"h";"t";"t";"f";"g";"+"
"range2";"range1";"range2";"range1";"range1";"range3";"b";"u";"g";"x";"h";"t";"f";"f";"g";"+"
"range1";"range1";"range2";"range1";"range3";"range3";"b";"u";"g";"c";"h";"t";"f";"f";"g";"+"
"range2";"range3";"range2";"range1";"range2";"range1";"b";"u";"g";"q";"h";"t";"f";"t";"g";"+"
"range3";"range2";"range3";"range1";"range1";"range1";"b";"u";"g";"q";"h";"t";"f";"t";"g";"+"
"range1";"range2";"range1";"range1";"range1";"range1";"a";"u";"g";"aa";"v";"t";"f";"f";"g";"+"
"range1";"range3";"range3";"range3";"range3";"range3";"b";"u";"g";"w";"h";"t";"t";"t";"g";"+"
"range2";"range2";"range2";"range1";"range3";"range1";"a";"u";"g";"x";"h";"t";"f";"f";"g";"+"
"range3";"range1";"range2";"range3";"range3";"range3";"b";"y";"p";"c";"v";"t";"t";"t";"g";"+"
"range3";"range1";"range2";"range3";"range1";"range3";"a";"u";"g";"aa";"v";"t";"t";"f";"g";"+"
"range3";"range2";"range2";"range3";"range1";"range2";"b";"u";"g";"w";"v";"t";"t";"t";"g";"+"
"range1";"range2";"range2";"range3";"range2";"range2";"b";"y";"p";"d";"v";"t";"t";"t";"g";"+"
"range1";"range1";"range1";"range2";"range3";"range2";"b";"y";"p";"x";"v";"t";"t";"t";"g";"+"
"range3";"range3";"range1";"range3";"range1";"range3";"a";"u";"g";"ff";"ff";"t";"t";"t";"g";"+"
"range1";"range3";"range2";"range3";"range1";"range3";"a";"u";"g";"c";"h";"t";"t";"f";"g";"+"
"range2";"range1";"range3";"range2";"range3";"range3";"b";"y";"p";"c";"h";"t";"t";"t";"g";"+"
"range2";"range1";"range2";"range3";"range1";"range3";"b";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range2";"range3";"range2";"range3";"range1";"range1";"b";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range3";"range2";"range2";"range3";"range2";"range3";"b";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range3";"range3";"range2";"range3";"range2";"range3";"b";"u";"g";"m";"v";"t";"t";"t";"g";"+"
"range2";"range1";"range2";"range3";"range3";"range3";"b";"u";"g";"x";"v";"t";"t";"t";"g";"+"
"range3";"range1";"range1";"range2";"range3";"range1";"b";"u";"g";"e";"v";"f";"t";"f";"s";"+"
"range3";"range2";"range1";"range1";"range2";"range1";"b";"u";"g";"m";"v";"t";"f";"t";"g";"+"
"range2";"range3";"range3";"range1";"range2";"range1";"b";"y";"p";"w";"h";"t";"f";"t";"g";"+"
"range2";"range3";"range1";"range1";"range1";"range3";"a";"y";"p";"e";"z";"t";"f";"f";"g";"+"
"range3";"range3";"range1";"range1";"range1";"range1";"b";"u";"g";"ff";"ff";"t";"f";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range3";"b";"u";"g";"x";"h";"t";"t";"t";"g";"+"
"range3";"range3";"range3";"range3";"range1";"range1";"b";"u";"g";"c";"v";"t";"t";"f";"g";"+"
"range2";"range2";"range2";"range3";"range2";"range3";"b";"y";"p";"c";"v";"t";"t";"t";"g";"+"
"range2";"range1";"range1";"range3";"range1";"range3";"b";"u";"g";"c";"v";"t";"t";"t";"g";"+"
"range2";"range3";"range3";"range3";"range3";"range3";"b";"u";"g";"cc";"v";"t";"t";"f";"g";"+"
"range2";"range1";"range3";"range3";"range3";"range2";"b";"u";"g";"c";"h";"t";"t";"t";"g";"+"
"range1";"range1";"range1";"range1";;"range1";"b";"?";"?";"?";"?";"f";"f";"f";"p";"+"
"range2";"range3";"range1";"range1";"range3";"range2";"b";"u";"g";"w";"v";"f";"f";"t";"g";"+"
"range3";"range1";"range1";"range1";"range3";"range1";"b";"u";"g";"k";"v";"t";"f";"t";"g";"+"
"range2";"range1";"range1";"range1";"range3";"range2";"b";"u";"g";"c";"bb";"t";"f";"f";"g";"+"
"range3";"range2";"range3";"range3";"range3";"range3";"a";"u";"g";"c";"v";"t";"t";"t";"g";"+"
"range1";"range3";"range3";"range3";"range1";"range3";"a";"u";"g";"aa";"v";"t";"t";"f";"g";"+"
"range1";"range1";"range2";"range2";"range3";"range3";"?";"u";"g";"q";"v";"f";"t";"f";"g";"+"
"range1";"range2";"range2";"range3";"range2";"range3";"b";"u";"g";"c";"v";"t";"t";"t";"g";"+"
"range2";"range1";"range2";"range3";"range3";"range3";"a";"u";"g";"k";"v";"t";"t";"f";"g";"+"
"range3";"range2";"range1";"range1";"range2";"range2";"?";"y";"p";"?";"?";"f";"f";"t";"g";"-"
"range2";"range1";"range1";"range1";"range2";"range1";"b";"y";"p";"k";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range1";"b";"u";"g";"q";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range1";"b";"u";"g";"c";"h";"t";"f";"f";"g";"-"
"range2";"range2";"range2";"range1";"range3";"range1";"a";"y";"p";"k";"v";"f";"f";"t";"g";"-"
"range1";"range1";"range1";"range1";"range1";"range1";"b";"u";"g";"c";"v";"f";"f";"f";"g";"+"
"range2";"range2";"range2";"range1";"range3";"range1";"b";"u";"g";"k";"v";"f";"f";"t";"g";"-"
;"range1";"range3";"range1";"range3";"range1";"b";"y";"p";"d";"v";"f";"f";"t";"g";"-"
"range3";"range2";"range1";"range1";"range3";"range1";"b";"u";"g";"x";"bb";"f";"f";"t";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range2";"b";"y";"p";"k";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range3";"range3";"range3";"range2";"b";"y";"p";"q";"h";"f";"t";"t";"g";"-"
"range1";"range1";"range1";"range2";"range3";"range3";"b";"u";"g";"w";"v";"f";"t";"f";"g";"-"
"range1";"range3";"range2";"range3";"range2";"range2";"b";"u";"g";"c";"bb";"f";"t";"t";"g";"-"
"range3";"range2";"range1";"range1";"range2";"range1";"a";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range2";"range1";"range1";"range3";"range3";"range2";"b";"u";"g";"c";"h";"f";"t";"t";"g";"-"
"range1";"range1";"range2";"range2";"range3";"range2";"b";"u";"g";"i";"v";"f";"t";"t";"g";"-"
"range2";"range3";"range1";"range3";"range2";"range2";"b";"y";"p";"ff";"ff";"f";"t";"f";"g";"-"
"range2";"range2";"range2";"range2";"range3";"range2";"b";"u";"g";"m";"v";"f";"t";"t";"g";"-"
"range1";"range3";"range1";"range1";"range2";"range3";"b";"y";"p";"aa";"v";"t";"f";"f";"g";"-"
"range1";"range2";"range1";"range1";"range2";"range2";"b";"u";"g";"i";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range3";"range1";"range1";"range1";"b";"u";"g";"c";"j";"f";"f";"t";"s";"+"
"range2";"range1";"range1";"range1";;"range1";"a";"?";"?";"?";"?";"f";"f";"f";"p";"+"
"range1";"range1";"range2";"range1";"range2";"range2";"b";"u";"g";"q";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range2";"range1";"range2";"range1";"b";"y";"p";"cc";"v";"f";"f";"f";"g";"-"
"range1";"range3";"range3";"range1";"range1";"range1";"b";"u";"g";"c";"v";"f";"f";"f";"s";"-"
"range1";"range3";"range1";"range1";;"range1";"b";"y";"p";"i";"bb";"f";"f";"t";"g";"-"
"range3";"range2";"range1";"range1";"range1";"range3";"b";"u";"g";"ff";"ff";"f";"f";"f";"g";"-"
"range2";"range3";"range2";"range1";"range3";"range1";"b";"u";"g";"d";"h";"f";"f";"f";"g";"-"
"range1";"range1";"range2";"range1";"range2";"range2";"a";"u";"g";"w";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range2";"range3";"a";"u";"g";"q";"v";"f";"f";"t";"g";"-"
"range2";"range1";"range1";"range2";"range3";"range2";"a";"u";"g";"m";"h";"f";"t";"t";"g";"-"
"range3";"range1";"range1";"range1";"range1";"range1";"a";"u";"g";"ff";"ff";"f";"f";"f";"g";"-"
"range2";"range2";"range1";"range1";"range2";"range1";"b";"y";"p";"k";"ff";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range2";"range3";"range2";"a";"u";"g";"w";"v";"f";"t";"t";"g";"-"
"range1";"range2";"range2";"range3";"range2";"range3";"b";"u";"g";"c";"n";"f";"t";"t";"g";"-"
"range3";"range1";"range2";"range1";"range2";"range1";"b";"y";"p";"m";"v";"f";"f";"t";"g";"-"
"range1";"range3";"range2";"range1";"range1";"range3";"b";"u";"g";"aa";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range1";"range1";"range1";"range1";"b";"u";"g";"aa";"v";"f";"f";"t";"g";"-"
"range3";"range1";"range2";"range1";"range3";"range1";"b";"u";"g";"k";"v";"f";"f";"t";"g";"-"
"range2";"range2";"range3";"range1";"range3";"range3";"b";"u";"g";"i";"bb";"f";"f";"t";"g";"-"
"range2";"range2";"range3";"range1";"range2";"range2";"?";"y";"p";"cc";"v";"f";"f";"t";"g";"-"
"range2";"range1";"range3";"range1";"range3";"range1";"b";"y";"p";"aa";"v";"f";"f";"t";"g";"-"
"range3";"range3";"range3";"range1";"range1";"range1";"a";"u";"g";"aa";"h";"f";"f";"f";"g";"-"
"range3";"range1";"range1";"range1";"range3";"range2";"b";"y";"p";"w";"v";"f";"f";"t";"g";"-"
"range3";"range2";"range1";"range1";"range1";"range3";"b";"u";"g";"cc";"v";"f";"f";"t";"g";"-"
"range1";"range3";"range1";"range1";"range1";"range3";"a";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range1";"range3";"range1";"range1";"range1";"range1";"b";"u";"g";"aa";"v";"f";"f";"t";"g";"-"
"range2";"range1";"range3";"range1";"range3";"range1";"b";"u";"g";"k";"h";"f";"f";"t";"g";"-"
"range3";"range2";"range1";"range3";"range1";"range3";"a";"u";"g";"ff";"ff";"f";"t";"f";"g";"-"
"range3";"range2";"range2";"range1";"range1";"range2";"b";"u";"g";"i";"bb";"f";"f";"f";"g";"-"
"range1";"range3";"range1";"range2";"range1";"range3";"a";"u";"g";"q";"v";"f";"t";"t";"g";"-"
"range1";"range1";"range2";"range1";"range2";"range1";"a";"u";"g";"i";"v";"f";"f";"t";"s";"-"
"range1";"range3";"range2";"range1";"range1";"range2";"b";"u";"g";"i";"v";"t";"f";"t";"g";"-"
"range1";"range1";"range2";"range2";"range2";"range2";"a";"u";"g";"q";"v";"f";"t";"t";"g";"-"
"range1";"range2";"range1";"range1";"range1";"range1";"a";"y";"p";"ff";"ff";"f";"f";"f";"g";"-"
"range2";"range2";"range3";"range2";"range3";"range2";"b";"u";"g";"c";"h";"f";"t";"t";"g";"-"
"range3";"range2";"range1";"range1";"range1";"range3";"a";"u";"g";"aa";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range2";"range1";"range2";"range2";"a";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range1";"range2";"range1";"range2";"a";"u";"g";"c";"v";"f";"t";"t";"g";"-"
"range1";"range3";"range1";"range1";"range1";"range1";"b";"u";"g";"aa";"v";"f";"f";"f";"g";"-"
"range2";"range2";"range1";"range1";"range2";"range1";"b";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range2";"range1";"range2";"range1";"a";"u";"g";"w";"v";"f";"f";"t";"g";"-"
"range2";"range2";"range2";"range1";"range2";"range1";"b";"y";"p";"cc";"v";"f";"f";"t";"g";"-"
"range2";"range1";"range1";"range1";"range2";"range1";"b";"y";"p";"w";"v";"f";"f";"f";"s";"-"
"range2";"range1";"range1";"range1";"range1";"range1";"b";"y";"p";"m";"v";"f";"f";"f";"g";"-"
"range1";"range3";"range1";"range1";"range2";"range1";"a";"u";"g";"c";"v";"f";"f";"t";"g";"-"
"range1";"range1";"range2";"range2";"range1";"range2";"a";"u";"g";"c";"v";"f";"t";"t";"g";"-"
"range2";"range1";"range1";"range1";"range3";"range1";"b";"u";"g";"d";"h";"f";"f";"t";"s";"-"
"range3";"range2";"range2";"range1";"range2";"range2";"b";"y";"p";"ff";"ff";"f";"f";"f";"g";"-"
"range3";"range3";"range3";"range1";"range3";"range2";"b";"u";"g";"w";"v";"f";"f";"f";"g";"-"
"range2";"range3";"range2";"range1";"range1";"range2";"b";"u";"g";"cc";"v";"f";"f";"f";"g";"-"
"range3";"range1";"range2";"range1";"range3";"range2";"a";"u";"g";"aa";"v";"f";"f";"t";"g";"-"
"range2";"range2";"range2";"range1";"range3";"range2";"?";"y";"p";"e";"h";"f";"f";"f";"g";"-"
"range3";"range2";"range1";"range1";"range3";"range3";"a";"u";"g";"i";"h";"f";"f";"f";"g";"-"
"range3";"range1";"range2";"range1";"range3";"range3";"a";"u";"g";"aa";"v";"f";"f";"f";"g";"-"
"range2";"range3";"range1";"range3";"range2";"range2";"a";"u";"g";"q";"h";"f";"t";"t";"g";"-"
"range1";"range3";"range1";"range2";"range1";"range2";"b";"u";"g";"m";"v";"f";"t";"f";"g";"-"
"range1";"range3";"range1";"range1";"range1";"range2";"a";"u";"g";"ff";"ff";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range1";"range1";"a";"u";"g";"c";"v";"f";"f";"f";"g";"-"
"range1";"range1";"range1";"range1";"range3";"range3";"b";"u";"g";"k";"v";"f";"f";"f";"g";"-"
"range2";"range1";"range3";"range1";"range2";"range3";"b";"y";"p";"d";"h";"f";"f";"f";"g";"-"
"range1";"range2";"range2";"range1";"range2";"range2";"b";"u";"g";"i";"v";"f";"f";"t";"g";"-"
"range3";"range1";"range2";"range1";"range3";"range2";"b";"y";"p";"d";"v";"f";"f";"f";"g";"-"
"range3";"range2";"range3";"range1";"range3";"range1";"b";"u";"g";"m";"v";"f";"f";"t";"s";"-"
"range1";"range3";"range2";"range1";"range3";"range1";"b";"y";"p";"e";"h";"f";"f";"f";"g";"-"
"range1";"range1";"range2";"range3";"range2";"range3";"a";"u";"g";"c";"v";"f";"t";"t";"g";"-"
"range2";"range3";"range2";"range2";"range2";"range2";"a";"y";"p";"ff";"ff";"f";"t";"t";"g";"-"
"range1";"range1";"range1";"range1";"range3";"range3";"b";"u";"g";"aa";"v";"f";"f";"f";"g";"-"
"range3";"range2";"range3";"range1";"range1";"range1";"b";"u";"g";"c";"h";"f";"f";"t";"g";"-"
